fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-01-01,128,ALCALÁ DE HENARES,prophet_30,real,8.0,15,215,128,128.0
2025-01-02,76,ALCALÁ DE HENARES,prophet_30,real,8.0,4,12,76,76.0
2025-01-03,81,ALCALÁ DE HENARES,prophet_30,real,8.0,7,49,81,81.0
2025-01-04,81,ALCALÁ DE HENARES,prophet_30,real,8.0,4,20,81,81.0
2025-01-05,63,ALCALÁ DE HENARES,prophet_30,real,8.0,0,0,63,63.0
2025-01-06,37,ALCALÁ DE HENARES,prophet_30,real,8.0,10,109,37,37.0
2025-01-07,34,ALCALÁ DE HENARES,prophet_30,real,8.0,6,36,34,34.0
2025-01-08,84,ALCALÁ DE HENARES,prophet_30,real,8.0,17,300,84,84.0
2025-01-09,37,ALCALÁ DE HENARES,prophet_30,real,8.0,7,44,37,37.0
2025-01-10,37,ALCALÁ DE HENARES,prophet_30,real,8.0,9,87,37,37.0
2025-01-11,30,ALCALÁ DE HENARES,prophet_30,real,8.0,11,128,30,30.0
2025-01-12,51,ALCALÁ DE HENARES,prophet_30,real,8.0,4,17,51,51.0
2025-01-13,115,ALCALÁ DE HENARES,prophet_30,real,8.0,2,2,115,115.0
2025-01-14,87,ALCALÁ DE HENARES,prophet_30,real,8.0,9,82,87,87.0
2025-01-15,101,ALCALÁ DE HENARES,prophet_30,real,8.0,17,294,101,101.0
2025-01-16,94,ALCALÁ DE HENARES,prophet_30,real,8.0,13,168,94,94.0
2025-01-17,78,ALCALÁ DE HENARES,prophet_30,real,8.0,10,90,78,78.0
2025-01-18,87,ALCALÁ DE HENARES,prophet_30,real,8.0,6,40,87,87.0
2025-01-19,82,ALCALÁ DE HENARES,prophet_30,real,8.0,9,80,82,82.0
2025-01-20,76,ALCALÁ DE HENARES,prophet_30,real,8.0,12,148,76,76.0
2025-01-21,51,ALCALÁ DE HENARES,prophet_30,real,8.0,2,4,51,51.0
2025-01-22,32,ALCALÁ DE HENARES,prophet_30,real,8.0,11,114,32,32.0
2025-01-23,67,ALCALÁ DE HENARES,prophet_30,real,8.0,4,18,67,67.0
2025-01-24,32,ALCALÁ DE HENARES,prophet_30,real,8.0,8,64,32,32.0
2025-01-25,34,ALCALÁ DE HENARES,prophet_30,real,8.0,9,84,34,34.0
2025-01-26,29,ALCALÁ DE HENARES,prophet_30,real,8.0,8,66,29,29.0
2025-01-27,78,ALCALÁ DE HENARES,prophet_30,real,8.0,18,308,78,78.0
2025-01-28,42,ALCALÁ DE HENARES,prophet_30,real,8.0,6,32,42,42.0
2025-01-29,42,ALCALÁ DE HENARES,prophet_30,real,8.0,6,34,42,42.0
2025-01-30,84,ALCALÁ DE HENARES,prophet_30,real,8.0,11,118,84,84.0
2025-01-31,72,ALCALÁ DE HENARES,prophet_30,real,8.0,2,6,72,72.0
2025-02-01,79,ALCALÁ DE HENARES,prophet_30,real,8.0,8,62,79,79.0
2025-02-02,47,ALCALÁ DE HENARES,prophet_30,real,8.0,7,52,47,47.0
2025-02-03,77,ALCALÁ DE HENARES,prophet_30,real,8.0,3,9,77,77.0
2025-02-04,89,ALCALÁ DE HENARES,prophet_30,real,8.0,10,100,89,89.0
2025-02-05,92,ALCALÁ DE HENARES,prophet_30,real,8.0,3,8,92,92.0
2025-02-06,89,ALCALÁ DE HENARES,prophet_30,real,8.0,5,27,89,89.0
2025-02-07,81,ALCALÁ DE HENARES,prophet_30,real,8.0,9,78,81,81.0
2025-02-08,51,ALCALÁ DE HENARES,prophet_30,real,8.0,7,55,51,51.0
2025-02-09,47,ALCALÁ DE HENARES,prophet_30,real,8.0,10,107,47,47.0
2025-02-10,57,ALCALÁ DE HENARES,prophet_30,real,8.0,10,101,57,57.0
2025-02-11,69,ALCALÁ DE HENARES,prophet_30,real,8.0,0,0,69,69.0
2025-02-12,69,ALCALÁ DE HENARES,prophet_30,real,8.0,5,27,69,69.0
2025-02-13,85,ALCALÁ DE HENARES,prophet_30,real,8.0,8,57,85,85.0
2025-02-14,70,ALCALÁ DE HENARES,prophet_30,real,8.0,3,10,70,70.0
2025-02-15,75,ALCALÁ DE HENARES,prophet_30,real,8.0,6,35,75,75.0
2025-02-16,77,ALCALÁ DE HENARES,prophet_30,real,8.0,12,139,77,77.0
2025-02-17,51,ALCALÁ DE HENARES,prophet_30,real,8.0,5,26,51,51.0
2025-02-18,59,ALCALÁ DE HENARES,prophet_30,real,8.0,3,10,59,59.0
2025-02-19,75,ALCALÁ DE HENARES,prophet_30,real,8.0,7,47,75,75.0
2025-02-20,77,ALCALÁ DE HENARES,prophet_30,real,8.0,1,1,77,77.0
2025-02-21,63,ALCALÁ DE HENARES,prophet_30,real,8.0,4,13,63,63.0
2025-02-22,42,ALCALÁ DE HENARES,prophet_30,real,8.0,5,28,42,42.0
2025-02-23,37,ALCALÁ DE HENARES,prophet_30,real,8.0,11,113,37,37.0
2025-02-24,45,ALCALÁ DE HENARES,prophet_30,real,8.0,7,53,45,45.0
2025-02-25,30,ALCALÁ DE HENARES,prophet_30,real,8.0,6,33,30,30.0
2025-02-26,54,ALCALÁ DE HENARES,prophet_30,real,8.0,3,12,54,54.0
2025-02-27,50,ALCALÁ DE HENARES,prophet_30,real,8.0,8,69,50,50.0
2025-02-28,39,ALCALÁ DE HENARES,prophet_30,real,8.0,10,105,39,39.0
2025-03-01,66,ALCALÁ DE HENARES,prophet_30,predicción,15.0,15,225,51,59.0
2025-03-02,65,ALCALÁ DE HENARES,prophet_30,predicción,13.0,13,169,52,61.0
2025-03-03,56,ALCALÁ DE HENARES,prophet_30,predicción,21.0,21,441,35,63.0
2025-03-04,58,ALCALÁ DE HENARES,prophet_30,predicción,21.0,21,441,37,57.0
2025-03-05,58,ALCALÁ DE HENARES,prophet_30,predicción,21.0,21,441,37,58.0
2025-03-06,59,ALCALÁ DE HENARES,prophet_30,predicción,8.0,8,64,51,56.0
2025-03-07,59,ALCALÁ DE HENARES,prophet_30,predicción,9.0,9,81,50,59.0
2025-03-08,66,ALCALÁ DE HENARES,prophet_30,predicción,8.0,8,64,74,
2025-03-09,60,ALCALÁ DE HENARES,prophet_30,predicción,5.0,5,25,65,
2025-03-10,61,ALCALÁ DE HENARES,prophet_30,predicción,2.0,2,4,63,
2025-03-11,58,ALCALÁ DE HENARES,prophet_30,predicción,9.0,9,81,49,
2025-03-12,59,ALCALÁ DE HENARES,prophet_30,predicción,18.0,18,324,41,
2025-03-13,60,ALCALÁ DE HENARES,prophet_30,predicción,3.0,3,9,57,
2025-03-14,60,ALCALÁ DE HENARES,prophet_30,predicción,7.0,7,49,67,
2025-03-15,55,ALCALÁ DE HENARES,prophet_30,predicción,10.0,10,100,45,
2025-03-16,57,ALCALÁ DE HENARES,prophet_30,predicción,3.0,3,9,54,
2025-03-17,62,ALCALÁ DE HENARES,prophet_30,predicción,27.0,27,729,35,
2025-03-18,57,ALCALÁ DE HENARES,prophet_30,predicción,4.0,4,16,61,
2025-03-19,55,ALCALÁ DE HENARES,prophet_30,predicción,16.0,16,256,71,
2025-03-20,57,ALCALÁ DE HENARES,prophet_30,predicción,10.0,10,100,67,
2025-03-21,66,ALCALÁ DE HENARES,prophet_30,predicción,9.0,9,81,75,
