fecha,municipio,ICA_real
2025-03-29,PUERTO DE COTOS,110.91666666666667
2025-03-20,PUERTO DE COTOS,106.08333333333333
2025-03-30,PUERTO DE COTOS,105.69565217391305
2025-03-21,PUERTO DE COTOS,102.04166666666667
2025-03-08,PUERTO DE COTOS,101.83333333333333
2025-03-28,PUERTO DE COTOS,101.25
2025-03-19,PUERTO DE COTOS,99.26086956521739
2025-03-26,PUERTO DE COTOS,99.04166666666667
2025-03-11,PUERTO DE COTOS,98.58333333333333
2025-03-09,PUERTO DE COTOS,94.29166666666667
2025-03-29,"ATAZAR, EL",94.16666666666667
2025-03-15,PUERTO DE COTOS,94.125
2025-03-24,PUERTO DE COTOS,93.95833333333333
2025-03-06,PUERTO DE COTOS,93.875
2025-03-23,PUERTO DE COTOS,93.33333333333333
2025-03-29,VILLA DEL PRADO,93.33333333333333
2025-03-04,PUERTO DE COTOS,92.58333333333333
2025-03-14,PUERTO DE COTOS,92.54545454545455
2025-03-16,PUERTO DE COTOS,92.45833333333333
2025-03-30,ORUSCO DE TAJUÑA,92.26086956521739
2025-03-28,"ATAZAR, EL",92.125
2025-03-22,PUERTO DE COTOS,91.75
2025-03-10,PUERTO DE COTOS,91.58333333333333
2025-03-05,PUERTO DE COTOS,91.29166666666667
2025-03-12,PUERTO DE COTOS,91.20833333333333
2025-03-17,PUERTO DE COTOS,90.70833333333333
2025-03-29,COLMENAR VIEJO,90.625
2025-03-27,PUERTO DE COTOS,90.54545454545455
2025-03-07,PUERTO DE COTOS,90.13636363636364
2025-03-13,PUERTO DE COTOS,89.66666666666667
2025-03-20,ORUSCO DE TAJUÑA,89.41666666666667
2025-03-29,ALGETE,89.29166666666667
2025-03-20,VILLAREJO DE SALVANÉS,88.9090909090909
2025-03-26,"ATAZAR, EL",88.875
2025-03-25,PUERTO DE COTOS,88.45833333333333
2025-03-30,COLMENAR VIEJO,88.30434782608695
2025-03-30,"ATAZAR, EL",87.91304347826087
2025-03-21,COLMENAR VIEJO,87.5
2025-03-03,PUERTO DE COTOS,87.20833333333333
2025-03-27,"ATAZAR, EL",87.08333333333333
2025-03-21,VILLAREJO DE SALVANÉS,87.08333333333333
2025-03-28,VILLA DEL PRADO,86.875
2025-03-29,GUADALIX DE LA SIERRA,86.79166666666667
2025-03-29,ORUSCO DE TAJUÑA,86.70833333333333
2025-03-21,ORUSCO DE TAJUÑA,86.33333333333333
2025-03-30,ALGETE,86.0
2025-03-20,VILLA DEL PRADO,85.45833333333333
2025-03-21,"ATAZAR, EL",85.45833333333333
2025-03-20,MÓSTOLES,85.45454545454545
2025-03-02,PUERTO DE COTOS,85.41666666666667
2025-03-21,ALGETE,84.79166666666667
2025-03-22,COLMENAR VIEJO,84.70833333333333
2025-03-08,"ATAZAR, EL",84.66666666666667
2025-03-08,ALGETE,84.5
2025-03-08,VILLAREJO DE SALVANÉS,84.16666666666667
2025-03-27,ALGETE,84.125
2025-03-22,VILLAREJO DE SALVANÉS,84.08333333333333
2025-03-21,GUADALIX DE LA SIERRA,84.0
2025-03-21,RIVAS-VACIAMADRID,83.83333333333333
2025-03-20,ARGANDA DEL REY,83.83333333333333
